state,logger,address,meas_day,meas_night,metric
WA,C,"28A Bruce Rd, Morley WA",58.5,53.3,LAeq
WA,D,"2A Abbey Street, Morley WA",59.0,52.5,LAeq
WA,E,"9 Clandon Way, Morley WA",57.9,52.9,LAeq
WA,F,"48 Alfreda Ave, Morley WA",57.1,53.4,LAeq
WA,G,"100 Alfreda Ave, Morley WA",56.9,54.6,LAeq
WA,H,"8 Wells Court, Noranda WA",49.9,45.5,LAeq
WA,I,"15 Davis Court, Morley WA",50.1,44.3,LAeq
WA,J,"6 Acacia Court, Beechboro WA",54.9,50.9,LAeq
WA,K,"11 Willow Place, Beechboro WA",52.2,48.0,LAeq
WA,L,"8 Jarrah Court, Beechboro WA",50.6,45.5,LAeq
WA,M,"43 Mitra Loop, Beechboro WA",50.1,52.8,LAeq
WA,N,"10 Cootha Court, Ballajura WA",47.4,43.2,LAeq
WA,O,"21 Madura Close, Ballajura WA",49.4,47.0,LAeq
WA,P,"12 Fewson Turn, Ellenbrook WA",49.1,44.1,LAeq
WA,Q,"32 Stock Road West, Bullsbrook WA",54.2,48.2,LAeq
WA,R,"144 Strachan Road, Bullsbrook WA",47.7,43.2,LAeq
WA,S,"591 Muchea South Road, Muchea WA",50.7,49.3,LAeq
WA,1,"Lot 104 (#421) Willinge Drive, Davenport WA",59.1,54.2,LAeq
WA,2,"Lot 100 South Western Highway, Davenport WA",59.2,53.3,LAeq
WA,3,"Lot 500 (#538) Bussell Highway, Dalyellup WA",64.0,58.5,LAeq
WA,4,"Lot 47 (#1213) Bussell Highway, Stratham WA",60.5,54.0,LAeq
WA,5,"Lot 41 (#133) Woods Road, Gelorup WA",43.2,36.3,LAeq
NSW,"Logger 1 (front yard, road-facing; RION NL-42, unattended 13-20 Dec 2022)","47 Raymond Terrace Road, East Maitland NSW",65.0,62.0,LAeq
NSW,"Logger 1 (front yard ~20m from Gregory Hills Drive; RION NL-42EX, unattended 25 Oct-1 Nov 2022)","190 Raby Road, Gledswood Hills NSW (facade ~20m from Gregory Hills Drive)",66.0,62.0,LAeq
NSW,"Location 1 (long-term logger near Edwin Land Parkway; fence-top, shielded)","7/36 Pannamena Crescent, Jerrabomberra NSW 2619",56.0,48.0,LAeq
NSW,Location 2 (long-term logger near Edwin Land Parkway),"21 Macadamia Close, Jerrabomberra NSW 2619",54.0,41.0,LAeq
NSW,"Location 3 (long-term logger near Edwin Land Parkway; fence-top, shielded)","17 Nimbus Place, Karabar NSW 2620",53.0,46.0,LAeq
NSW,"Rear of Site (RION NL-42EX, ~10m from Raymond Terrace Rd)","37 Raymond Terrace Road, Maitland NSW",66.0,60.0,LAeq
